,audienceRating,Genre,criticRating,timeMin,grossMillions,Movie,Vote,Year
385,4.7,Horror,18,96,20.38,Mortelle Saint Valentin,21687,2001
386,6.9,Comedy,56,98,0.35,Buffalo Soldiers,21487,2001
387,6.1,Comedy,32,97,27.34,Attraction animale,21232,2001
388,7.4,Comedy,77,114,13.88,Le mariage des moussons,21028,2001
389,4.8,Adventure,37,92,25.64,Crocodile Dundee III,21006,2001
390,6.2,Drama,33,95,6.11,Impostor,20900,2001
391,6.1,Crime,30,92,11.63,Les hommes de main,20626,2001
392,5.6,Drama,39,102,24.04,Angel Eyes,20395,2001
393,2.2,Drama,14,104,4.27,Glitter,20110,2001
394,5.4,Comedy,32,87,64.19,Les pieds sur terre,19857,2001
395,5.3,Comedy,47,98,14.25,Josie et les Pussycats,19744,2001
396,6.4,Drama,64,119,4.3,Enigma,18521,2001
397,7.0,Drama,53,103,0.3,Lost and Delirious,18070,2001
398,7.3,Animation,75,108,0.64,Metropolis,18061,2001
399,6.2,Drama,53,95,16.02,Othello 2003,17883,2001
400,7.9,Animation,70,87,0.04,Sennen joyû,17269,2001
401,7.3,Drama,84,121,4.46,Lantana,17201,2001
402,7.3,Drama,71,86,0.49,Tape,16813,2001
403,5.8,Comedy,52,87,11.56,Allison Forever,16329,2001
404,5.8,Comedy,38,88,4.78,Les visiteurs en Amérique,16265,2001
405,6.4,Comedy,56,96,0.7,Human Nature,16169,2001
406,5.3,Comedy,15,95,13.56,Tomcats,16004,2001
407,6.9,Comedy,50,87,0.91,Storytelling,15918,2001
408,7.4,Drama,73,99,1.01,La chambre du fils,15729,2001
409,6.4,Comedy,62,95,5.31,Made,15676,2001
410,7.1,Biography,76,91,1.29,Iris,15554,2001
411,6.3,Comedy,22,89,13.9,"Snow, Sex and Sun",15228,2001
412,4.7,Animation,40,93,5.41,Monkeybone,15143,2001
